location_id,activity_date,revenue_amount
L119,2024-01-22,135.13
L144,2024-01-20,82.74
L194,2024-01-29,113.43
L185,2024-01-29,128.67
L141,2024-01-15,224.82
L191,2024-01-28,121.3
L067,2024-01-25,65.57
L164,2024-01-09,192.62
L134,2024-01-16,158.55
L071,2024-01-15,23.98
L074,2024-01-08,71.57
L082,2024-01-29,137.34
L036,2024-01-05,61.66
L178,2024-01-05,178.07
L017,2024-01-14,104.86
L139,2024-01-15,106.86
L053,2024-01-27,107.94
L198,2024-01-19,236.79
L006,2024-01-28,220.76
L148,2024-01-13,121.86
L091,2024-01-10,189.6
L108,2024-01-18,188.14
L140,2024-01-26,152.8
L057,2024-01-16,58.76
L112,2024-01-16,12.11
L087,2024-01-22,171.39
L104,2024-01-24,45.44
L120,2024-01-30,36.27
L160,2024-01-18,11.61
L101,2024-01-19,143.28
L007,2024-01-03,162.47
L035,2024-01-28,118.12
L013,2024-01-09,97.88
L055,2024-01-15,85.08
L195,2024-01-29,97.89
L193,2024-01-27,108.28
L021,2024-01-16,9.75
L139,2024-01-02,249.98
L090,2024-01-08,164.29
L200,2024-01-21,14.86
L008,2024-01-08,53.84
L006,2024-01-20,42.33
L033,2024-01-16,169.02
L145,2024-01-07,118.93
L066,2024-01-25,95.38
L156,2024-01-20,241.12
L184,2024-01-04,195.56
L042,2024-01-10,31.48
L007,2024-01-30,81.43
L174,2024-01-30,239.75
L102,2024-01-23,53.59
L152,2024-01-23,208.49
L063,2024-01-04,175.81
L078,2024-01-28,172.64
L031,2024-01-26,246.04
L011,2024-01-12,135.52
L170,2024-01-12,21.89
L166,2024-01-11,8.1
L108,2024-01-27,125.1
L111,2024-01-12,160.72
L118,2024-01-23,42.48
L046,2024-01-24,132.83
L167,2024-01-09,155.9
L138,2024-01-25,123.46
L112,2024-01-27,184.1
L069,2024-01-11,213.67
L023,2024-01-09,221.0
L063,2024-01-25,118.85
L157,2024-01-22,97.85
L008,2024-01-16,213.48
L047,2024-01-16,56.97
L067,2024-01-11,73.52
L153,2024-01-23,220.63
L143,2024-01-01,131.57
L049,2024-01-03,64.13
L105,2024-01-16,141.02
L062,2024-01-23,121.64
L183,2024-01-16,114.8
L005,2024-01-03,77.09
L104,2024-01-23,64.61
L170,2024-01-19,95.41
L142,2024-01-17,89.22
L191,2024-01-18,86.04
L180,2024-01-15,71.37
L065,2024-01-08,34.56
L050,2024-01-11,34.29
L138,2024-01-25,174.09
L050,2024-01-07,185.96
L071,2024-01-24,149.45
L195,2024-01-17,151.21
L026,2024-01-27,52.56
L059,2024-01-12,48.96
L004,2024-01-23,135.86
L071,2024-01-02,243.7
L142,2024-01-10,175.87
L033,2024-01-21,217.77
L126,2024-01-04,218.82
L147,2024-01-10,120.0
L113,2024-01-11,50.17
L014,2024-01-09,235.56
L123,2024-01-04,206.42
L103,2024-01-16,23.15
L162,2024-01-22,18.13
L039,2024-01-26,142.9
L078,2024-01-03,248.51
L031,2024-01-18,192.29
L156,2024-01-20,198.73
L058,2024-01-25,133.03
L116,2024-01-30,113.47
L151,2024-01-14,79.82
L159,2024-01-02,154.36
L190,2024-01-04,237.16
L054,2024-01-21,56.7
L170,2024-01-03,43.48
L045,2024-01-18,23.39
L001,2024-01-14,115.37
L153,2024-01-16,76.36
L060,2024-01-10,178.2
L180,2024-01-28,116.24
L176,2024-01-08,231.36
L161,2024-01-19,166.99
L051,2024-01-14,33.12
L058,2024-01-21,41.5
L069,2024-01-27,39.85
L016,2024-01-06,199.19
L153,2024-01-24,206.94
L074,2024-01-15,35.47
L177,2024-01-10,176.43
L070,2024-01-17,137.3
L113,2024-01-03,151.52
L111,2024-01-24,83.97
L065,2024-01-01,27.38
L173,2024-01-27,215.83
L151,2024-01-01,249.9
L173,2024-01-27,71.03
L011,2024-01-25,190.29
L121,2024-01-17,164.62
L072,2024-01-06,249.25
L112,2024-01-21,204.49
L024,2024-01-16,90.25
L086,2024-01-11,169.18
L042,2024-01-11,105.85
L127,2024-01-10,167.33
L103,2024-01-27,191.32
L010,2024-01-15,26.57
L065,2024-01-11,33.4
L198,2024-01-13,216.9
L001,2024-01-22,218.0
L119,2024-01-14,18.28
L133,2024-01-12,157.55
L128,2024-01-21,113.3
L014,2024-01-07,70.43
L034,2024-01-30,75.57
L179,2024-01-16,34.75
L162,2024-01-20,200.83
L182,2024-01-06,81.13
L004,2024-01-18,104.96
L058,2024-01-27,228.67
L119,2024-01-04,163.69
L040,2024-01-16,233.5
L075,2024-01-17,177.83
L107,2024-01-27,123.21
L121,2024-01-08,116.91
L038,2024-01-13,51.7
L154,2024-01-17,187.84
L035,2024-01-28,22.1
L198,2024-01-26,214.33
L088,2024-01-30,197.99
L069,2024-01-27,5.63
L186,2024-01-10,210.18
L149,2024-01-22,124.96
L039,2024-01-15,136.95
L089,2024-01-11,140.22
L140,2024-01-13,116.56
L083,2024-01-28,51.22
L179,2024-01-08,145.09
L060,2024-01-28,195.01
L012,2024-01-11,187.45
L181,2024-01-30,203.8
L099,2024-01-22,199.14
L167,2024-01-05,126.36
L010,2024-01-05,128.06
L152,2024-01-11,218.08
L113,2024-01-04,133.86
L117,2024-01-01,182.0
L105,2024-01-28,165.42
L040,2024-01-03,120.03
L068,2024-01-11,157.7
L102,2024-01-21,24.68
L085,2024-01-28,170.22
L137,2024-01-13,238.76
L161,2024-01-23,222.42
L125,2024-01-28,137.55
L159,2024-01-03,62.52
L176,2024-01-30,75.41
L059,2024-01-24,27.14
L026,2024-01-25,160.27
L026,2024-01-15,45.76
L077,2024-01-29,12.09
L084,2024-01-26,18.75
L092,2024-01-12,110.52
L063,2024-01-17,105.95
L175,2024-01-26,49.11
L045,2024-01-03,154.33
L098,2024-01-20,172.37
L128,2024-01-30,147.87
L060,2024-01-15,161.29
L118,2024-01-09,168.38
L120,2024-01-29,75.47
L140,2024-01-06,23.1
L089,2024-01-19,78.29
L109,2024-01-23,66.27
L078,2024-01-07,249.85
L124,2024-01-04,63.12
L147,2024-01-12,145.83
L180,2024-01-10,10.38
L169,2024-01-13,72.25
L145,2024-01-28,173.02
L191,2024-01-02,228.1
L191,2024-01-16,209.05
L074,2024-01-25,200.72
L156,2024-01-26,91.32
L163,2024-01-07,157.12
L174,2024-01-25,181.63
L169,2024-01-22,210.39
L161,2024-01-04,226.33
L166,2024-01-02,80.69
L113,2024-01-02,147.0
L188,2024-01-05,27.08
L076,2024-01-11,188.13
L045,2024-01-07,37.38
L139,2024-01-29,243.01
L136,2024-01-17,228.8
L043,2024-01-09,228.94
L124,2024-01-26,77.31
L087,2024-01-26,33.22
L020,2024-01-05,189.77
L058,2024-01-28,170.7
L173,2024-01-13,241.98
L143,2024-01-12,27.12
L102,2024-01-01,69.79
L032,2024-01-15,95.3
L192,2024-01-22,69.23
L098,2024-01-27,161.44
L096,2024-01-04,170.33
L121,2024-01-01,156.79
L144,2024-01-11,229.24
L057,2024-01-21,20.49
L119,2024-01-30,176.76
L167,2024-01-14,33.59
L012,2024-01-02,79.57
L127,2024-01-04,28.81
L138,2024-01-05,100.22
L095,2024-01-22,237.6
L179,2024-01-18,107.69
L191,2024-01-24,42.86
L107,2024-01-21,29.26
L126,2024-01-20,104.99
L072,2024-01-02,174.12
L056,2024-01-15,113.95
L061,2024-01-28,93.86
L176,2024-01-12,138.39
L166,2024-01-12,19.83
L071,2024-01-07,242.21
L117,2024-01-03,167.38
L165,2024-01-21,151.3
L006,2024-01-02,197.76
L063,2024-01-05,197.81
L053,2024-01-03,208.31
L142,2024-01-07,148.66
L060,2024-01-11,194.72
L153,2024-01-01,72.93
L038,2024-01-05,137.35
L045,2024-01-04,166.96
L007,2024-01-05,8.64
L061,2024-01-19,84.32
L045,2024-01-09,17.84
L190,2024-01-14,133.89
L191,2024-01-03,121.68
L200,2024-01-12,130.74
L028,2024-01-15,128.44
L158,2024-01-02,183.17
L169,2024-01-17,78.9
L165,2024-01-01,19.9
L123,2024-01-28,103.4
L176,2024-01-04,125.12
L114,2024-01-03,225.32
L083,2024-01-20,41.34
L033,2024-01-09,157.96
L150,2024-01-18,179.48
L098,2024-01-20,134.99
L117,2024-01-17,153.33
L026,2024-01-26,176.94
L168,2024-01-21,220.04
L142,2024-01-24,217.05
L111,2024-01-15,222.58
L106,2024-01-11,207.72
L103,2024-01-14,183.76
L081,2024-01-14,81.57
L066,2024-01-12,238.63
L176,2024-01-30,121.2
L024,2024-01-27,25.91
L111,2024-01-04,187.42
L096,2024-01-26,36.88
L016,2024-01-19,239.37
L144,2024-01-11,169.15
L106,2024-01-12,219.03
L193,2024-01-14,217.68
L185,2024-01-02,242.26
L154,2024-01-10,91.15
L148,2024-01-17,57.12
L169,2024-01-16,59.94
L028,2024-01-12,212.12
L095,2024-01-04,191.84
L147,2024-01-08,202.77
L144,2024-01-25,205.51
L158,2024-01-22,162.46
L007,2024-01-20,232.63
L178,2024-01-09,12.09
L070,2024-01-23,191.79
L087,2024-01-12,6.5
L037,2024-01-19,166.05
L018,2024-01-05,186.54
L008,2024-01-03,187.8
L056,2024-01-13,107.86
L088,2024-01-06,95.66
L185,2024-01-11,195.32
L146,2024-01-20,25.81
L014,2024-01-05,43.57
L159,2024-01-02,170.12
L070,2024-01-15,167.17
L125,2024-01-20,113.3
L070,2024-01-07,189.96
L030,2024-01-12,110.33
L073,2024-01-22,171.23
L125,2024-01-17,168.45
L012,2024-01-08,101.84
L154,2024-01-02,6.88
L078,2024-01-07,193.0
L196,2024-01-09,75.91
L031,2024-01-01,126.86
L111,2024-01-06,36.65
L137,2024-01-23,61.38
L144,2024-01-27,168.67
L091,2024-01-03,102.28
L190,2024-01-02,111.87
L118,2024-01-30,24.08
L081,2024-01-19,110.17
L104,2024-01-23,161.83
L075,2024-01-04,104.23
L084,2024-01-06,201.32
L159,2024-01-15,208.85
L093,2024-01-03,111.99
L028,2024-01-08,111.74
L103,2024-01-17,24.27
L080,2024-01-24,88.18
L086,2024-01-25,46.19
L131,2024-01-21,32.94
L131,2024-01-07,226.95
L090,2024-01-12,183.21
L166,2024-01-27,41.18
L027,2024-01-05,67.71
L045,2024-01-20,42.45
L195,2024-01-21,23.46
L198,2024-01-21,126.06
L194,2024-01-19,191.17
L115,2024-01-22,231.42
L145,2024-01-21,160.65
L160,2024-01-11,216.74
L161,2024-01-11,41.98
L018,2024-01-16,113.34
L078,2024-01-26,72.3
L015,2024-01-12,129.3
L080,2024-01-15,115.72
L015,2024-01-12,208.77
L020,2024-01-21,216.74
L024,2024-01-20,150.55
L099,2024-01-15,147.18
L190,2024-01-29,15.05
L147,2024-01-21,51.12
L155,2024-01-16,127.83
L016,2024-01-15,30.36
L088,2024-01-23,25.66
L166,2024-01-06,14.59
L182,2024-01-15,247.79
L135,2024-01-17,154.4
L094,2024-01-12,229.89
L100,2024-01-14,194.74
L174,2024-01-20,17.83
L162,2024-01-21,86.99
L085,2024-01-04,141.7
L099,2024-01-10,66.74
L169,2024-01-30,152.66
L039,2024-01-11,24.97
L170,2024-01-05,229.6
L080,2024-01-21,176.13
L101,2024-01-05,150.79
L022,2024-01-10,141.94
L165,2024-01-26,85.48
L033,2024-01-22,177.19
L190,2024-01-22,228.55
L024,2024-01-21,169.26
L131,2024-01-12,9.47
L080,2024-01-06,238.04
L088,2024-01-25,124.14
L058,2024-01-05,42.96
L076,2024-01-28,198.09
L130,2024-01-25,137.24
L190,2024-01-29,134.0
L170,2024-01-11,219.72
L159,2024-01-05,151.33
L040,2024-01-06,49.31
L178,2024-01-25,158.06
L043,2024-01-24,112.23
L106,2024-01-12,170.71
L061,2024-01-15,154.6
L193,2024-01-24,197.03
L060,2024-01-18,63.6
L121,2024-01-29,209.6
L095,2024-01-22,237.05
L113,2024-01-15,193.51
L200,2024-01-13,128.21
L108,2024-01-06,205.14
L155,2024-01-05,218.89
L014,2024-01-21,122.74
L096,2024-01-18,233.9
L183,2024-01-28,131.4
L032,2024-01-10,25.55
L042,2024-01-09,115.08
L132,2024-01-05,208.61
L024,2024-01-30,59.4
L116,2024-01-29,90.65
L007,2024-01-14,18.05
L129,2024-01-12,62.77
L021,2024-01-12,60.01
L082,2024-01-30,29.28
L183,2024-01-21,87.15
L038,2024-01-05,14.38
L121,2024-01-23,208.62
L195,2024-01-23,119.93
L158,2024-01-01,226.94
L005,2024-01-09,57.84
L039,2024-01-18,235.36
L156,2024-01-17,108.7
L199,2024-01-10,63.22
L032,2024-01-02,63.42
L164,2024-01-26,157.59
L017,2024-01-04,209.99
L128,2024-01-20,136.33
L162,2024-01-17,145.89
L184,2024-01-05,76.36
L001,2024-01-20,91.44
L147,2024-01-14,50.89
L172,2024-01-03,133.25
L093,2024-01-03,238.58
L140,2024-01-17,197.67
L130,2024-01-18,9.98
L121,2024-01-02,160.74
L096,2024-01-09,188.09
L092,2024-01-26,21.55
L062,2024-01-24,165.99
L027,2024-01-25,147.57
L194,2024-01-11,37.69
L091,2024-01-18,87.94
L165,2024-01-06,208.44
L176,2024-01-15,245.3
L123,2024-01-21,49.66
L035,2024-01-03,180.43
L118,2024-01-02,76.89
L012,2024-01-26,53.87
L011,2024-01-11,233.68
L132,2024-01-13,247.34
L140,2024-01-16,67.06
L193,2024-01-21,51.82
L092,2024-01-28,196.31
L168,2024-01-11,71.94
L095,2024-01-14,222.92
L191,2024-01-15,224.19
L099,2024-01-11,243.56
L128,2024-01-23,126.89
L133,2024-01-09,201.28
L187,2024-01-14,24.34
L155,2024-01-27,49.21
L076,2024-01-11,30.14
L084,2024-01-22,77.43
L115,2024-01-20,180.83
L043,2024-01-23,113.76
L115,2024-01-02,183.07
L091,2024-01-20,249.55
L071,2024-01-21,245.11
L015,2024-01-03,169.44
L104,2024-01-12,130.71
L192,2024-01-22,44.2
L008,2024-01-05,212.92
L174,2024-01-26,112.35
L033,2024-01-03,62.82
L166,2024-01-12,93.73
L146,2024-01-02,153.25
L174,2024-01-15,237.46
L096,2024-01-15,191.96
L147,2024-01-05,134.72
L102,2024-01-11,164.14
L064,2024-01-04,11.35
L048,2024-01-16,131.85
L144,2024-01-04,69.14
L067,2024-01-23,114.34
L157,2024-01-10,175.03
L126,2024-01-07,35.05
L019,2024-01-15,47.3
L183,2024-01-15,249.33
L175,2024-01-28,246.71
L171,2024-01-12,178.84
L141,2024-01-18,76.14
L077,2024-01-28,43.59
L182,2024-01-30,176.55
L045,2024-01-26,93.57
L058,2024-01-04,246.36
L036,2024-01-08,198.64
L007,2024-01-12,140.74
L095,2024-01-15,201.9
L142,2024-01-05,154.93
L023,2024-01-03,80.78
L184,2024-01-24,122.27
L106,2024-01-25,105.31
L148,2024-01-03,35.71
L082,2024-01-21,23.17
L120,2024-01-22,131.75
L033,2024-01-29,208.12
L142,2024-01-21,149.01
L197,2024-01-05,110.99
L015,2024-01-27,35.42
L040,2024-01-10,45.34
L083,2024-01-30,178.79
L089,2024-01-17,224.26
L021,2024-01-09,53.09
L142,2024-01-09,35.67
L078,2024-01-20,135.7
L129,2024-01-21,46.32
L149,2024-01-05,46.94
L160,2024-01-24,225.99
L087,2024-01-27,231.36
L011,2024-01-27,216.63
L021,2024-01-02,237.39
L198,2024-01-19,69.84
L054,2024-01-25,145.17
L159,2024-01-21,12.42
L161,2024-01-18,75.97
L078,2024-01-16,65.0
L176,2024-01-13,77.87
L019,2024-01-23,19.68
L113,2024-01-14,123.64
L053,2024-01-11,153.63
L081,2024-01-28,181.0
L188,2024-01-28,89.62
L103,2024-01-05,191.36
L132,2024-01-18,31.02
L062,2024-01-15,35.02
L116,2024-01-08,39.52
L013,2024-01-10,236.62
L158,2024-01-14,65.83
L041,2024-01-27,85.22
L148,2024-01-24,81.62
L196,2024-01-06,127.08
L132,2024-01-15,127.2
L079,2024-01-16,10.68
L101,2024-01-17,117.02
L062,2024-01-07,147.92
L013,2024-01-02,73.93
L153,2024-01-29,211.5
L173,2024-01-16,75.01
L003,2024-01-28,31.34
L035,2024-01-29,69.8
L094,2024-01-25,103.8
L012,2024-01-13,17.53
L144,2024-01-07,93.82
L074,2024-01-03,99.66
L116,2024-01-25,139.71
L160,2024-01-22,154.71
L033,2024-01-04,101.51
L087,2024-01-18,235.04
L194,2024-01-05,53.77
L131,2024-01-13,127.52
L012,2024-01-02,38.57
L086,2024-01-26,121.07
L117,2024-01-05,153.53
L132,2024-01-05,85.35
L157,2024-01-11,44.81
L158,2024-01-24,211.44
L152,2024-01-11,129.29
L131,2024-01-18,125.01
L145,2024-01-10,121.35
L005,2024-01-12,86.15
L029,2024-01-14,148.01
L186,2024-01-28,173.57
L007,2024-01-20,121.27
L168,2024-01-26,243.15
L149,2024-01-19,60.75
L014,2024-01-19,122.71
L135,2024-01-21,181.69
L199,2024-01-27,98.15
L175,2024-01-08,12.73
L180,2024-01-04,51.74
L113,2024-01-11,107.6
L106,2024-01-23,54.95
L129,2024-01-25,154.81
L121,2024-01-28,212.85
L187,2024-01-02,177.91
L133,2024-01-07,142.42
L170,2024-01-16,133.74
L081,2024-01-06,117.62
L137,2024-01-11,138.84
L174,2024-01-25,217.58
L175,2024-01-21,201.89
L068,2024-01-20,123.62
L064,2024-01-09,141.73
L058,2024-01-10,193.94
L181,2024-01-07,174.11
L126,2024-01-11,122.55
L144,2024-01-30,233.95
L185,2024-01-09,75.51
L147,2024-01-22,138.08
L102,2024-01-27,89.56
L198,2024-01-26,40.89
L011,2024-01-10,239.05
L021,2024-01-12,231.38
L168,2024-01-09,188.1
L055,2024-01-07,207.85
L070,2024-01-30,142.69
L070,2024-01-05,31.76
L190,2024-01-19,63.62
L013,2024-01-22,226.77
L058,2024-01-21,62.04
L026,2024-01-14,85.92
L121,2024-01-04,171.89
L036,2024-01-01,241.31
L041,2024-01-14,164.96
L122,2024-01-16,164.38
L194,2024-01-10,83.69
L166,2024-01-02,227.44
L023,2024-01-21,145.66
L137,2024-01-24,182.16
L010,2024-01-30,230.76
L107,2024-01-29,210.21
L010,2024-01-27,102.26
L127,2024-01-06,234.47
L075,2024-01-29,14.18
L077,2024-01-19,152.68
L086,2024-01-10,116.32
L165,2024-01-18,133.46
L035,2024-01-28,128.53
L070,2024-01-07,203.16
L085,2024-01-06,184.12
L166,2024-01-09,181.06
L004,2024-01-24,87.59
L076,2024-01-19,170.23
L050,2024-01-06,154.68
L164,2024-01-29,104.35
L110,2024-01-17,85.34
L103,2024-01-22,28.37
L036,2024-01-16,84.28
L064,2024-01-01,68.89
L061,2024-01-15,189.67
L085,2024-01-10,147.7
L147,2024-01-01,69.08
L093,2024-01-23,62.89
L171,2024-01-04,119.02
L041,2024-01-13,173.09
L181,2024-01-25,81.19
L031,2024-01-21,229.45
L076,2024-01-12,155.58
L057,2024-01-05,122.15
L117,2024-01-24,247.27
L096,2024-01-14,176.98
L121,2024-01-25,136.69
L171,2024-01-27,58.51
L064,2024-01-22,189.91
L021,2024-01-17,114.45
L181,2024-01-12,24.14
L145,2024-01-04,20.13
L141,2024-01-29,128.84
L147,2024-01-18,41.71
L084,2024-01-28,132.48
L030,2024-01-22,55.32
L150,2024-01-16,27.28
L131,2024-01-15,203.13
L117,2024-01-05,130.75
L117,2024-01-19,19.15
L119,2024-01-22,202.69
L186,2024-01-01,102.01
L001,2024-01-24,58.39
L019,2024-01-02,108.81
L180,2024-01-03,137.59
L016,2024-01-30,224.08
L121,2024-01-02,75.34
L047,2024-01-25,38.18
L165,2024-01-24,163.24
L108,2024-01-12,248.25
L098,2024-01-15,218.06
L097,2024-01-13,24.66
L170,2024-01-28,137.13
L168,2024-01-28,90.2
L046,2024-01-18,101.3
L033,2024-01-24,244.79
L001,2024-01-25,10.57
L077,2024-01-15,170.01
L140,2024-01-14,135.32
L059,2024-01-08,117.85
L040,2024-01-09,51.18
L186,2024-01-25,32.65
L170,2024-01-14,155.66
L005,2024-01-08,55.49
L026,2024-01-20,13.23
L154,2024-01-22,177.31
L013,2024-01-08,186.43
L103,2024-01-15,62.41
L056,2024-01-25,216.61
L015,2024-01-05,128.45
L075,2024-01-08,204.87
L188,2024-01-19,83.13
L154,2024-01-25,169.77
L083,2024-01-08,78.93
L037,2024-01-22,132.71
L106,2024-01-10,72.41
L143,2024-01-19,220.53
L045,2024-01-21,171.29
L143,2024-01-16,16.49
L089,2024-01-21,169.48
L135,2024-01-11,175.6
L105,2024-01-05,78.47
L048,2024-01-25,136.79
L062,2024-01-28,60.21
L182,2024-01-05,202.42
L015,2024-01-18,106.11
L107,2024-01-18,134.85
L100,2024-01-08,67.47
L085,2024-01-21,24.37
L116,2024-01-28,95.91
L138,2024-01-24,208.2
L014,2024-01-09,97.41
L155,2024-01-20,14.69
L019,2024-01-07,202.14
L151,2024-01-24,169.51
L056,2024-01-16,56.18
L086,2024-01-10,239.47
L004,2024-01-07,234.6
L190,2024-01-04,187.99
L194,2024-01-16,229.04
L179,2024-01-20,177.42
L102,2024-01-30,63.64
L083,2024-01-25,74.35
L120,2024-01-18,163.94
L079,2024-01-09,93.11
L128,2024-01-15,29.16
L185,2024-01-16,191.6
L082,2024-01-30,54.77
L081,2024-01-14,16.2
L057,2024-01-24,40.75
L067,2024-01-18,234.02
L149,2024-01-24,107.31
L040,2024-01-07,85.82
L098,2024-01-19,209.17
L128,2024-01-18,165.38
L176,2024-01-11,68.05
L126,2024-01-24,162.22
L126,2024-01-15,46.22
L091,2024-01-06,39.29
L140,2024-01-16,50.09
L139,2024-01-21,239.52
L135,2024-01-02,210.57
L020,2024-01-27,168.71
L196,2024-01-01,106.04
L162,2024-01-08,21.65
L039,2024-01-01,58.59
L117,2024-01-12,19.81
L164,2024-01-22,233.81
L124,2024-01-22,124.52
L002,2024-01-18,140.15
L004,2024-01-01,134.71
L071,2024-01-18,244.48
L005,2024-01-17,204.22
L173,2024-01-14,202.51
L046,2024-01-04,229.92
L135,2024-01-05,64.04
L159,2024-01-17,66.84
L091,2024-01-09,199.76
L021,2024-01-12,240.03
L118,2024-01-19,64.59
L179,2024-01-08,78.49
L021,2024-01-21,247.96
L167,2024-01-25,12.76
L104,2024-01-13,97.41
L122,2024-01-02,161.0
L180,2024-01-06,25.26
L112,2024-01-21,197.17
L145,2024-01-28,243.59
L136,2024-01-30,15.43
L055,2024-01-29,217.69
L146,2024-01-16,71.42
